\id LUK
\c 22
\level phrase
\separators . ? ! : ; , ।
3.520	10.020	1a
10.020	11.740	1b
11.740	15.800	2a
15.800	21.600	2b
21.600	26.800	3a
26.800	31.600	3b
31.600	38.000	4a
38.000	39.360	4b
39.360	45.900	5
45.900	53.400	6a
53.400	55.880	6b
55.880	59.880	6c
59.880	63.580	7a
63.580	68.120	7b
68.120	71.840	8a
71.840	75.740	8b
75.740	77.800	8c
77.800	79.480	9a
79.480	80.620	9b
80.620	82.920	9c
82.920	85.220	10a
85.220	90.520	10b
90.520	94.260	10c
94.260	96.640	11a
96.640	97.780	11b
97.780	99.760	11c
99.760	103.720	11d
103.720	110.400	12a
110.400	112.080	12b
112.080	115.400	13a
115.400	117.500	13b
117.500	123.400	13c
123.400	125.240	14a
125.240	127.960	14b
127.960	129.520	15a
129.520	131.940	15b
131.940	138.320	15c
138.320	139.420	16a
139.420	143.760	16b
143.760	146.020	16c
146.020	150.720	17a
150.720	153.800	17b
153.800	155.640	18a
155.640	161.500	18b
161.500	168.840	19a
168.840	172.140	19b
172.140	174.480	19c
174.480	179.040	20a
179.040	181.380	20b
181.380	186.660	20c
186.660	188.840	21a
188.840	192.500	21b
192.500	196.320	22a
196.320	197.900	22b
197.900	201.820	22c
201.820	207.540	23a
207.540	209.060	23b
209.060	210.680	23c
210.680	213.900	24a
213.900	217.060	24b
217.060	218.660	25a
218.660	222.020	25b
222.020	228.560	25c
228.560	230.660	26a
230.660	233.580	26b
233.580	235.020	26c
235.020	236.700	26d
236.700	237.360	27a
237.360	238.180	27b
238.180	242.220	27c
242.220	244.720	27d
244.720	247.620	27e
247.620	251.940	28
251.940	254.580	29a
254.580	256.640	29b
256.640	258.800	29c
258.800	268.400	30
268.400	269.680	31a
269.680	270.900	31b
270.900	274.940	31c
274.940	278.720	31d
278.720	282.720	31e
282.720	285.380	32a
285.380	287.700	32b
287.700	290.000	32c
290.000	292.220	32d
292.220	294.760	33a
294.760	299.240	33b
299.240	301.060	34a
301.060	312.200	34b
312.200	314.280	35a
314.280	316.820	35b
316.820	318.740	35c
318.740	321.560	35d
321.560	324.600	35e
324.600	326.240	36a
326.240	327.360	36b
327.360	329.240	36c
329.240	331.000	36d
331.000	340.160	36e
340.160	342.040	37a
342.040	343.260	37b
343.260	349.300	37c
349.300	349.840	37d
349.840	353.460	37e
353.460	355.500	38a
355.500	356.200	38b
356.200	357.440	38c
357.440	359.120	38d
359.120	364.040	38e
364.040	364.920	38f
364.920	371.020	39a
371.020	373.560	39b
373.560	376.000	40a
376.000	377.160	40b
377.160	380.340	40c
380.340	386.920	41
386.920	387.460	42a
387.460	388.640	42b
388.640	391.380	42c
391.380	394.440	42d
394.440	398.580	43a
398.580	400.600	43b
400.600	410.000	44
410.000	413.100	45a
413.100	415.620	45b
415.620	417.240	46a
417.240	418.860	46b
418.860	420.500	46c
420.500	424.480	46d
424.480	429.080	47a
429.080	435.520	47b
435.520	437.840	47c
437.840	439.800	47d
439.800	441.560	47e
441.560	443.360	48a
443.360	444.260	48b
444.260	448.260	48c
448.260	449.980	49a
449.980	452.740	49b
452.740	454.160	49c
454.160	454.900	49d
454.900	456.760	49e
456.760	462.820	50
462.820	464.320	51a
464.320	464.880	51b
464.880	465.980	51c
465.980	469.600	51d
469.600	471.360	52a
471.360	474.380	52b
474.380	476.820	52c
476.820	478.460	52d
478.460	483.600	52e
483.600	491.220	53a
491.220	498.300	53b
498.300	506.760	54
506.760	509.880	55a
509.880	511.520	55b
511.520	514.200	55c
514.200	520.920	56a
520.920	522.720	56b
522.720	525.700	57a
525.700	526.600	57b
526.600	528.460	57c
528.460	529.520	58a
529.520	532.040	58b
532.040	534.000	58c
534.000	535.880	58d
535.880	536.660	58e
536.660	537.900	58f
537.900	541.720	59a
541.720	544.600	59b
544.600	546.400	59c
546.400	548.380	60a
548.380	549.260	60b
549.260	550.400	60c
550.400	551.480	60d
551.480	553.220	60e
553.220	555.280	60f
555.280	558.200	61a
558.200	560.880	61b
560.880	562.320	61c
562.320	566.560	61d
566.560	572.100	62
572.100	578.200	63a
578.200	581.800	63b
581.800	585.360	64a
585.360	586.640	64b
586.640	588.260	64c
588.260	595.540	65a
595.540	596.720	65b
596.720	598.420	66a
598.420	599.340	66b
599.340	606.120	66c
606.120	607.720	67a
607.720	609.020	67b
609.020	610.240	67c
610.240	612.560	67d
612.560	614.460	67e
614.460	615.500	67f
615.500	618.060	67g
618.060	620.100	68a
620.100	621.980	68b
621.980	626.720	69
626.720	628.020	70a
628.020	630.100	70b
630.100	632.240	70c
632.240	634.160	70d
634.160	635.900	71a
635.900	638.740	71b
638.740	642.760	71c
